# BLUB Migration Airdrop Log - Sat Feb 14 10:39:50 EET 2026
# New BLUB SAC: CBMFDIRY5OKI4JJURXC4SMEQPWB4UUADIADJK4NA6CYBNOYK4W4TMLLF
# Issuer: GDERSSCKJQPPXUQOZIOXGRVAGNLVPVZCJ2MAX7RCMVMWGRPVAEG7XGTK

# Distribution Summary
# Stakers: 5 users, 95142.9335182 BLUB
# Holders: 7 users, 101554.6895851 BLUB

OK | GARYN7BW43SNIK7ZBR44G5PJDNH2MCX4AOY5IWHEJV42FQNRVUHX7HME | 18.8000000 BLUB | staker-locked
OK | GBNC63HMPHNBZCG6WPWZXKUC3NS7JUKBJLXEBGJMAJEGNY64QVLW5RZW | 60.0000000 BLUB | staker-locked
OK | GBTU72UJV766YP5VM7QZGKZ27H7YGQQJOLUNOM2ZA3XBE6FZYVPI2PW5 | 93661.5335182 BLUB | staker-locked
OK | GBXTXYAPPDYMQUDWHOBMXSF5RRFOZUJ7OUEMQPSG3L2EXYJ6ATM6SWS6 | 141.0000000 BLUB | staker-locked
OK | GCKTMO57VPZIOMFW47ZHXNWARPQRO4UGNNLHVFSEKDB2XKC74ZP4EKXD | 1261.6000000 BLUB | staker-locked
OK | GAQNTTXCXPWGKYUV6WCG4ONFQAPKLAUC7RBRSPBSTSQ5LHQ22XF5XUE5 | 56288.3616408 BLUB | holder-wallet
OK | GAQXUHVEYDHETYFGMRA6M4UTNAKA7ZR5TCIDU6UOROGIBMWUCN6MI7KX | 22345.2535716 BLUB | holder-wallet
OK | GCSSE2QXLLB745CQLGT3BRSSSCOWNXDEVXDCTNZ2P7I2T53DJF6FMZWB | 11747.1582849 BLUB | holder-wallet
OK | GC7COXLURUY25JVU6A5V73F5Y23CBSHKGGDIU57F5LJSAIW4XCTISUSP | 5360.0097307 BLUB | holder-wallet
OK | GD3EXP7GTMP7UFHPOR4O24EUH7S6VDKT7UAC4GDGPNFOBU3SAOFCPVTH | 2713.2850280 BLUB | holder-wallet
OK | GATLTA7377MRPTVW2NA3BPXEWDHFW7SAKKDISK4OUI7SJPVTEGHL75DD | 1589.2863417 BLUB | holder-wallet
OK | GBHM65LUCZDGA2LT7CKARIV65VLR6NNWJSTPHBJHNXNW4UHDEWMTSBAG | 1511.3349874 BLUB | holder-wallet
# Final Results: 12 OK, 0 FAIL
